,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-01,9,2020-09-01,15.885714285714286,16.12857142857143,61.92857142857143,1012.8000000000001,20.928571428571427,2.7857142857142856,132.92857142857142,191.57142857142858,260.64285714285717
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-02,9,2020-09-02,17.585714285714285,15.607142857142858,58.642857142857146,1012.3857142857142,304.92857142857144,1.2857142857142858,328.2142857142857,169.21428571428572,320.0
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
